iteracion,error_norma,pagerank_0,pagerank_1,pagerank_2,pagerank_3,pagerank_4
86,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
87,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
88,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
89,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
90,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
91,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
92,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
93,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
94,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
95,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
96,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
97,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
98,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
99,0.000000,0.077334,0.095734,0.111374,0.370572,0.344986
