iteracion,error_norma,pagerank_0,pagerank_1,pagerank_2
0,0.000000,0.333333,0.333333,0.333333
1,0.400694,0.616667,0.333333,0.050000
2,0.340590,0.375833,0.574167,0.050000
3,0.289501,0.580542,0.369458,0.050000
4,0.246076,0.406540,0.543460,0.050000
5,0.209165,0.554441,0.395559,0.050000
6,0.177790,0.428725,0.521275,0.050000
7,0.151121,0.535584,0.414416,0.050000
8,0.128453,0.444754,0.505246,0.050000
9,0.109185,0.521959,0.428041,0.050000
10,0.092807,0.456335,0.493665,0.050000
11,0.078886,0.512116,0.437884,0.050000
12,0.067053,0.464702,0.485298,0.050000
13,0.056995,0.505004,0.444996,0.050000
14,0.048446,0.470747,0.479253,0.050000
15,0.041179,0.499865,0.450135,0.050000
16,0.035002,0.475115,0.474885,0.050000
17,0.029752,0.496153,0.453847,0.050000
18,0.025289,0.478270,0.471730,0.050000
19,0.021496,0.493470,0.456530,0.050000
20,0.018271,0.480550,0.469450,0.050000
21,0.015531,0.491532,0.458468,0.050000
22,0.013201,0.482198,0.467802,0.050000
23,0.011221,0.490132,0.459868,0.050000
24,0.009538,0.483388,0.466612,0.050000
25,0.008107,0.489120,0.460880,0.050000
26,0.006891,0.484248,0.465752,0.050000
27,0.005857,0.488389,0.461611,0.050000
28,0.004979,0.484869,0.465131,0.050000
29,0.004232,0.487861,0.462139,0.050000
30,0.003597,0.485318,0.464682,0.050000
31,0.003058,0.487480,0.462520,0.050000
32,0.002599,0.485642,0.464358,0.050000
33,0.002209,0.487204,0.462796,0.050000
34,0.001878,0.485876,0.464124,0.050000
35,0.001596,0.487005,0.462995,0.050000
36,0.001357,0.486046,0.463954,0.050000
37,0.001153,0.486861,0.463139,0.050000
38,0.000980,0.486168,0.463832,0.050000
39,0.000833,0.486757,0.463243,0.050000
40,0.000708,0.486256,0.463744,0.050000
41,0.000602,0.486682,0.463318,0.050000
42,0.000512,0.486320,0.463680,0.050000
43,0.000435,0.486628,0.463372,0.050000
44,0.000370,0.486366,0.463634,0.050000
45,0.000314,0.486589,0.463411,0.050000
46,0.000267,0.486400,0.463600,0.050000
47,0.000227,0.486560,0.463440,0.050000
48,0.000193,0.486424,0.463576,0.050000
49,0.000164,0.486540,0.463460,0.050000
50,0.000139,0.486441,0.463559,0.050000
51,0.000119,0.486525,0.463475,0.050000
52,0.000101,0.486454,0.463546,0.050000
53,0.000086,0.486514,0.463486,0.050000
54,0.000073,0.486463,0.463537,0.050000
55,0.000062,0.486507,0.463493,0.050000
56,0.000053,0.486469,0.463531,0.050000
57,0.000045,0.486501,0.463499,0.050000
58,0.000038,0.486474,0.463526,0.050000
59,0.000032,0.486497,0.463503,0.050000
60,0.000027,0.486478,0.463522,0.050000
61,0.000023,0.486494,0.463506,0.050000
62,0.000020,0.486480,0.463520,0.050000
63,0.000017,0.486492,0.463508,0.050000
64,0.000014,0.486482,0.463518,0.050000
65,0.000012,0.486490,0.463510,0.050000
66,0.000010,0.486483,0.463517,0.050000
67,0.000009,0.486489,0.463511,0.050000
68,0.000007,0.486484,0.463516,0.050000
69,0.000006,0.486489,0.463511,0.050000
70,0.000005,0.486485,0.463515,0.050000
71,0.000005,0.486488,0.463512,0.050000
72,0.000004,0.486485,0.463515,0.050000
73,0.000003,0.486488,0.463512,0.050000
74,0.000003,0.486486,0.463514,0.050000
75,0.000002,0.486487,0.463513,0.050000
76,0.000002,0.486486,0.463514,0.050000
77,0.000002,0.486487,0.463513,0.050000
78,0.000001,0.486486,0.463514,0.050000
79,0.000001,0.486487,0.463513,0.050000
80,0.000001,0.486486,0.463514,0.050000
81,0.000001,0.486487,0.463513,0.050000
82,0.000001,0.486486,0.463514,0.050000
83,0.000001,0.486487,0.463513,0.050000
84,0.000001,0.486486,0.463514,0.050000
85,0.000000,0.486487,0.463513,0.050000
86,0.000000,0.486486,0.463514,0.050000
87,0.000000,0.486487,0.463513,0.050000
88,0.000000,0.486486,0.463514,0.050000
89,0.000000,0.486487,0.463513,0.050000
90,0.000000,0.486486,0.463514,0.050000
91,0.000000,0.486487,0.463513,0.050000
92,0.000000,0.486486,0.463514,0.050000
93,0.000000,0.486487,0.463513,0.050000
94,0.000000,0.486486,0.463514,0.050000
95,0.000000,0.486487,0.463513,0.050000
96,0.000000,0.486486,0.463514,0.050000
97,0.000000,0.486487,0.463513,0.050000
98,0.000000,0.486486,0.463514,0.050000
99,0.000000,0.486487,0.463513,0.050000
100,0.000000,0.486486,0.463514,0.050000
101,0.000000,0.486486,0.463514,0.050000
102,0.000000,0.486486,0.463514,0.050000
103,0.000000,0.486486,0.463514,0.050000
104,0.000000,0.486486,0.463514,0.050000
105,0.000000,0.486486,0.463514,0.050000
106,0.000000,0.486486,0.463514,0.050000
107,0.000000,0.486486,0.463514,0.050000
108,0.000000,0.486486,0.463514,0.050000
109,0.000000,0.486486,0.463514,0.050000
