indice,valor_singular
1,70930.7
2,12675.8
3,9191.17
4,8669.06
5,6913.99
6,6612.24
7,4792.19
8,4114.81
9,3865.53
10,3287.6
11,2827.32
12,2729.4
13,2530.64
14,2389.31
15,2243.98
16,2102.7
17,1993.47
18,1888.71
19,1847.32
20,1729.9
21,1619.1
22,1589.73
23,1490.13
24,1384.87
25,1299.91
26,1294.13
27,1241.88
28,1209.8
29,1194.23
30,1171.86
31,1130.45
32,1110.5
33,1080.01
34,1033.52
35,1020.72
36,1011.61
37,983.548
38,978.595
39,948.159
40,939.524
41,924.6
42,901.854
43,878.681
44,876.955
45,867.676
46,833.727
47,813.7
48,790.236
49,777.548
50,765.003
51,761.633
52,758.453
53,745.304
54,740.522
55,719.329
56,711.967
57,707.442
58,701.557
59,682.886
60,674.307
61,671.681
62,656.01
63,651.876
64,633.749
65,627.71
66,624.012
67,615.573
68,608.16
69,603.015
70,588.721
71,587.197
72,582.42
73,567.506
74,564.863
75,558.109
76,552.668
77,547.523
78,544.005
79,537.651
80,530.105
81,524.354
82,521.11
83,518.435
84,504.127
85,497.816
86,495.175
87,492.589
88,485.985
89,483.8
90,477.679
91,466.605
92,457.496
93,456.474
94,452.48
95,441.785
96,440.731
97,437.743
98,431.42
99,427.685
100,418.413
101,416.192
102,413.418
103,408.084
104,403.123
105,400.55
106,399.209
107,393.728
108,391.376
109,386.78
110,385.909
111,382.611
112,382.009
113,369.598
114,363.741
115,360.777
116,360.107
117,356.629
118,356.002
119,351.146
120,345.751
121,341.271
122,339.3
123,336.249
124,333.459
125,330.643
126,329.539
127,325.595
128,322.393
129,314.089
130,312.952
131,307.84
132,306.003
133,302.635
134,297.385
135,296.24
136,295.849
137,292.362
138,290.297
139,288.552
140,285.253
141,281.35
142,279.056
143,278.076
144,276.587
145,274.512
146,270.968
147,270.145
148,266.669
149,264.16
150,261.616
151,258.28
152,257.486
153,255.438
154,252.051
155,250.193
156,246.5
157,245.779
158,244.291
159,243.29
160,239.982
161,239.143
162,237.689
163,236.892
164,233.105
165,232.621
166,227.692
167,226.636
168,225.402
169,223.557
170,221.549
171,219.181
172,217.537
173,216.759
174,213.446
175,212.848
176,209.376
177,207.936
178,207.427
179,206.911
180,206.059
181,204.367
182,202.026
183,200.953
184,199.299
185,198.113
186,195.537
187,194.098
188,191.04
189,188.505
190,188.239
191,187.39
192,186.808
193,185.359
194,184.511
195,182.587
196,181.82
197,181.029
198,180.08
199,177.291
200,177.131
201,174.611
202,173.829
203,173.147
204,171.788
205,170.82
206,169.232
207,168.142
208,167.034
209,165.11
210,164.266
211,162.865
212,162.017
213,161.03
214,157.844
215,156.943
216,155.507
217,154.599
218,153.457
219,152.269
220,152.105
221,149.797
222,148.416
223,147.766
224,146.1
225,145.872
226,145.003
227,144.612
228,143.603
229,141.771
230,140.425
231,139.626
232,139.107
233,137.804
234,136.462
235,135.657
236,134.721
237,133.676
238,132.796
239,132.556
240,130.817
241,128.836
242,128.376
243,127.951
244,126.068
245,124.488
246,123.238
247,122.781
248,122.467
249,121.403
250,120.561
251,120.331
252,119.707
253,119.011
254,117.601
255,116.752
256,115.757
257,115.309
258,115.042
259,113.385
260,111.944
261,111.111
262,110.589
263,109.927
264,109.612
265,108.897
266,108.366
267,108.119
268,106.507
269,105.628
270,104.463
271,104.064
272,103.731
273,103.041
274,102.322
275,102.017
276,101.369
277,100.214
278,99.4098
279,98.4834
280,97.959
281,97.1517
282,96.6039
283,95.8497
284,95.0717
285,94.6227
286,94.4159
287,93.465
288,92.5662
289,91.313
290,90.938
291,90.8074
292,89.4365
293,89.4232
294,88.012
295,87.0197
296,86.4606
297,85.7789
298,85.515
299,84.3782
300,83.9681
301,83.223
302,82.4184
303,82.1436
304,81.4905
305,80.5618
306,79.8348
307,79.3157
308,78.7309
309,77.8667
310,77.5622
311,77.0936
312,76.2308
313,75.5163
314,75.4212
315,74.8285
316,74.1589
317,73.2018
318,72.8015
319,72.2799
320,72.052
321,71.3805
322,71.3337
323,70.7804
324,70.3607
325,70.0843
326,69.3795
327,68.5833
328,68.1599
329,67.8573
330,67.6259
331,67.3173
332,66.6187
333,66.3197
334,66.2228
335,65.2511
336,64.606
337,63.6816
338,62.9473
339,62.7336
340,62.3371
341,61.6379
342,61.2349
343,61.2063
344,60.6124
345,59.9283
346,59.5263
347,58.6702
348,58.5078
349,58.2842
350,57.4529
351,56.932
352,56.6926
353,56.0486
354,55.9274
355,55.6637
356,55.1303
357,54.4548
358,54.121
359,53.1891
360,52.8843
361,52.4463
362,52.2906
363,52.1188
364,50.8546
365,50.7657
366,50.564
367,49.7622
368,49.4705
369,49.1908
370,48.929
371,48.2139
372,47.4679
373,47.1769
374,46.7007
375,46.4966
376,46.0112
377,45.8168
378,45.3766
379,44.8675
380,44.7045
381,44.0537
382,43.0427
383,42.9504
384,42.8372
385,42.4562
386,42.0887
387,41.5377
388,40.9659
389,40.603
390,40.155
391,39.9023
392,39.682
393,39.2772
394,38.9664
395,38.3492
396,37.9495
397,37.7045
398,37.5225
399,36.8203
400,36.2557
401,35.9641
402,35.4886
403,35.13
404,34.8157
405,34.3704
406,34.2374
407,33.6203
408,33.3924
409,33.2177
410,33.0476
411,32.8547
412,32.564
413,32.215
414,31.5331
415,31.3367
416,30.9385
417,30.5089
418,30.0216
419,29.8001
420,29.4121
421,28.8564
422,28.5658
423,28.132
424,27.449
425,27.4359
426,26.8715
427,26.3984
428,26.191
429,25.8076
430,25.716
431,25.4589
432,25.1474
433,24.7179
434,24.4739
435,23.7594
436,23.5361
437,23.1922
438,23.0089
439,22.8002
440,22.033
441,21.7783
442,21.6523
443,21.2225
444,21.0528
445,20.5152
446,20.061
447,19.9966
448,19.6386
449,19.3155
450,18.9137
451,18.7706
452,18.3111
453,17.9419
454,17.3557
455,17.2138
456,16.8807
457,16.5494
458,16.3301
459,15.9195
460,15.5742
461,15.4112
462,14.8825
463,14.8041
464,14.2828
465,14.0616
466,13.8385
467,13.6063
468,13.3332
469,13.1911
470,12.786
471,12.1288
472,11.7055
473,11.5259
474,11.3445
475,11.1435
476,10.9429
477,10.6876
478,10.2449
479,9.75861
480,9.31491
481,9.18537
482,8.85295
483,8.37999
484,8.12582
485,7.80155
486,7.4598
487,7.21668
488,7.162
489,6.72514
490,6.68047
491,5.99272
492,5.85964
493,5.80988
494,5.3467
495,5.14396
496,5.02624
497,4.57479
498,4.28187
499,4.04763
500,3.7542
501,3.51354
502,2.94931
503,2.85794
504,2.51279
505,2.22015
506,2.21727
507,1.82007
508,1.21644
509,1.10506
510,0.876285
511,0.703957
512,0.00302275
