indice,valor_singular
1,53548.2
2,3013.01
3,2409.53
4,1872.24
5,1308.3
6,1009.32
7,883.066
8,739.747
9,550.803
10,498.496
11,479.727
12,400.875
13,383.825
14,340.452
15,303.897
16,292.863
17,257.77
18,249.089
19,240.118
20,232.2
21,209.088
22,206.004
23,192.792
24,184.369
25,171.274
26,164.794
27,157.068
28,152.74
29,150.053
30,148.444
31,144.354
32,139.071
33,133.884
34,129.423
35,126.95
36,123.716
37,118.495
38,117.734
39,114.378
40,112.415
41,108.181
42,105.402
43,102.149
44,100.853
45,98.5675
46,90.9734
47,89.024
48,88.0038
49,87.1824
50,84.0496
51,82.3426
52,80.8904
53,78.9039
54,75.9416
55,74.4713
56,73.2756
57,69.6827
58,68.7813
59,67.3062
60,65.0969
61,62.6424
62,61.2636
63,59.1039
64,57.5065
65,55.0281
66,54.2729
67,52.7618
68,52.2803
69,50.2826
70,49.1237
71,47.0894
72,46.3908
73,45.2774
74,43.7277
75,41.4123
76,40.5695
77,39.1353
78,38.2929
79,37.0393
80,36.193
81,34.8052
82,34.293
83,32.8777
84,32.3002
85,30.9746
86,29.431
87,28.1141
88,26.9726
89,26.2375
90,25.4886
91,24.0134
92,22.6852
93,22.0408
94,20.6404
95,20.552
96,19.3436
97,17.5473
98,16.8476
99,16.3467
100,15.8657
101,14.4244
102,13.2703
103,12.7538
104,12.0843
105,11.6511
106,10.7783
107,10.755
108,9.02901
109,8.93852
110,8.54425
111,8.06174
112,7.63653
113,7.23968
114,6.8876
115,6.731
116,6.53922
117,6.22969
118,6.01547
119,5.68406
120,5.53121
121,5.48789
122,5.18269
123,5.0644
124,4.93846
125,4.73447
126,4.62962
127,4.48596
128,4.34752
129,4.32233
130,4.20137
131,4.03404
132,3.9096
133,3.84297
134,3.62261
135,3.51675
136,3.36187
137,3.16394
138,2.92621
139,2.85588
140,2.75337
141,2.6551
142,2.36608
143,2.17465
144,2.06714
145,1.95249
146,1.91247
147,1.75734
148,1.12415
149,1.03716
150,0.773944
151,0.728848
152,0.601153
153,0.370867
154,0.259963
155,0.217649
156,5.99022e-11
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
