indice,valor_singular
1,10605.2
2,3884.79
3,3455.02
4,3102.52
5,2742.96
6,2372.52
7,2344.82
8,2117.77
9,2055.34
10,1757.42
11,1625.55
12,1580.78
13,1541.75
14,1460.66
15,1444.91
16,1411.55
17,1397.22
18,1385.09
19,1341.57
20,1329.98
21,1313
22,1290.92
23,1281.29
24,1276.27
25,1257.16
26,1229.09
27,1213.74
28,1202.72
29,1183.85
30,1177.92
31,1172.2
32,1165.97
33,1156.87
34,1142.84
35,1137.76
36,1124.37
37,1113.71
38,1105.45
39,1094.74
40,1085.94
41,1073.77
42,1073.51
43,1062.44
44,1048.87
45,1036.07
46,1018.06
47,1010.98
48,1009.54
49,1001.4
50,993.104
51,979.449
52,976.645
53,972.859
54,964.79
55,962.618
56,957.041
57,947.659
58,945.763
59,941.384
60,934.277
61,927.364
62,923.888
63,914.37
64,911.843
65,900.18
66,895.101
67,891.188
68,883.181
69,880.32
70,870.631
71,866.105
72,860.184
73,852.864
74,843.028
75,837.701
76,833.937
77,828.184
78,822.626
79,814.531
80,804.916
81,802.401
82,798.726
83,791.348
84,783.452
85,779.126
86,772.286
87,769.303
88,765.131
89,762.395
90,757.207
91,754.102
92,749.002
93,745.8
94,742.706
95,737.31
96,726.007
97,723.167
98,716.832
99,714.744
100,707.823
101,701.74
102,701.012
103,694.733
104,689.054
105,686.647
106,684.722
107,683.527
108,674.212
109,668.813
110,660.346
111,656.317
112,652.677
113,649.433
114,645.488
115,640.181
116,638.5
117,633.026
118,627.107
119,619.068
120,614.615
121,609.484
122,606.629
123,602.023
124,596.903
125,595.943
126,592.168
127,588.578
128,583.515
129,576.335
130,574.956
131,573.1
132,564.607
133,561.827
134,557.515
135,554.303
136,548.902
137,546.309
138,542.416
139,538.815
140,536.258
141,531.865
142,524.153
143,522.812
144,516.505
145,513.805
146,510.885
147,510.481
148,507.885
149,500.913
150,497.971
151,490.989
152,489.077
153,485.43
154,482.305
155,478.999
156,476.151
157,468.287
158,464.762
159,463.513
160,457.275
161,451.616
162,448.263
163,442.82
164,438.937
165,436.667
166,433.066
167,428.364
168,427.647
169,425.648
170,421.828
171,414.301
172,408.399
173,406.532
174,401.616
175,398.787
176,395.242
177,392.171
178,389.161
179,385.073
180,382.422
181,379.771
182,377.29
183,376.263
184,370.691
185,368.308
186,363.312
187,358.514
188,355.818
189,354.079
190,352.225
191,346.84
192,346.561
193,344.995
194,338.729
195,338.099
196,333.598
197,330.419
198,330.039
199,323.665
200,322.896
201,322.172
202,315.241
203,313
204,307.205
205,301.898
206,300.975
207,298.859
208,294.762
209,291.3
210,290.212
211,286.581
212,282.067
213,280.2
214,273.469
215,271.755
216,271.072
217,268.39
218,266.216
219,262.995
220,260.2
221,255.643
222,253.163
223,249.446
224,248.274
225,243.316
226,238.507
227,235.197
228,234.454
229,233.404
230,230.076
231,228.522
232,221.367
233,220.281
234,214.941
235,212.34
236,208.321
237,205.498
238,203.755
239,200.576
240,200.433
241,195.614
242,193.654
243,188.637
244,186.873
245,184.166
246,180.528
247,176.603
248,174.102
249,171.907
250,169.865
251,168.122
252,165.244
253,161.294
254,160.643
255,158.256
256,154.863
257,152.059
258,150.375
259,145.805
260,144.661
261,139.791
262,138.717
263,133.775
264,133.074
265,127.607
266,125.204
267,123.144
268,119.919
269,118.401
270,113.408
271,110.274
272,108.732
273,106.76
274,101.156
275,96.6656
276,96.3689
277,93.0956
278,91.4894
279,89.9503
280,87.1976
281,86.1497
282,83.5683
283,79.2955
284,77.2664
285,73.1124
286,70.1272
287,68.8105
288,66.2584
289,61.2059
290,59.8096
291,58.2396
292,56.6109
293,53.0343
294,52.2587
295,50.7032
296,47.3979
297,43.6336
298,42.9967
299,42.1674
300,41.5495
301,38.3927
302,35.3721
303,34.5503
304,30.8188
305,30.143
306,27.108
307,26.3116
308,24.7952
309,21.404
310,18.6288
311,15.1943
312,12.9715
313,10.1018
314,8.26858
315,7.08218
316,6.40712
317,3.29587
318,2.91202
319,1.78589
320,1.40676
321,0.874375
322,0.330862
323,0.0218368
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
