k,error_relativo,energia_pct,tasa_compresion
5,0.1514876983,97.7051477270,27.2953736655
20,0.0709090232,99.4971910430,6.8238434164
50,0.0422110191,99.8218229869,2.7295373665
100,0.0209888437,99.9559468442,1.3647686833
200,0.0028981953,99.9991600464,0.6823843416
