k,error_relativo,energia_pct,tasa_compresion
5,0.2585275821,93.3163489307,22.3796460177
20,0.1058050575,98.8805289805,5.5949115044
50,0.0512643116,99.7371970353,2.2379646018
100,0.0151696591,99.9769881442,1.1189823009
200,0.0000019678,99.9999999996,0.5594911504
