indice,valor_singular
1,11214
2,4951.49
3,2422.49
4,2175.92
5,1602.79
6,1377.61
7,1343.36
8,1157.02
9,962.475
10,801.325
11,780.271
12,691.551
13,670.396
14,592.999
15,549.046
16,489.103
17,466.277
18,437.356
19,390.785
20,381.821
21,337.448
22,324.569
23,312.661
24,302.349
25,290.239
26,275.608
27,269.811
28,259.872
29,240.788
30,237.718
31,229.047
32,220.405
33,213.797
34,212.011
35,207.279
36,200.415
37,195.253
38,192.372
39,189.581
40,183.883
41,179.168
42,174.418
43,169.059
44,162.146
45,160.831
46,157.663
47,156.24
48,152.106
49,146.221
50,142.401
51,138.535
52,137.406
53,136.557
54,132.892
55,130.716
56,127.944
57,125.346
58,123.144
59,119.729
60,118.599
61,112.145
62,110.161
63,108.939
64,107.375
65,104.516
66,103.495
67,100.677
68,99.7361
69,95.6646
70,94.3129
71,92.2089
72,88.452
73,86.9305
74,85.0538
75,84.1218
76,81.3669
77,79.9876
78,79.7071
79,77.5197
80,74.9785
81,74.0092
82,72.5966
83,71.7172
84,68.9966
85,67.9616
86,67.2501
87,65.4342
88,64.6525
89,62.6683
90,60.5227
91,60.104
92,58.8766
93,58.7156
94,56.0518
95,55.5969
96,53.8738
97,52.7151
98,51.4705
99,50.6877
100,48.0033
101,47.5098
102,46.6903
103,46.2886
104,45.0929
105,43.9343
106,42.9338
107,41.4115
108,40.3081
109,38.9102
110,38.6976
111,37.306
112,36.5626
113,35.7672
114,34.9488
115,34.0105
116,33.0212
117,32.1578
118,31.332
119,30.7443
120,29.4752
121,28.4316
122,27.8793
123,26.6374
124,26.3454
125,25.4753
126,24.84
127,23.2095
128,22.5982
129,22.0046
130,21.6269
131,20.8039
132,18.9367
133,18.4434
134,17.9793
135,16.1026
136,15.8091
137,14.5768
138,14.0758
139,13.802
140,12.7981
141,12.0387
142,11.8913
143,10.992
144,10.6787
145,10.3746
146,9.30093
147,8.90161
148,7.87569
149,7.66539
150,7.34068
151,6.64153
152,5.94793
153,5.76874
154,5.27958
155,4.8823
156,4.36569
157,4.03032
158,3.77646
159,3.61925
160,3.27271
161,3.00908
162,2.75102
163,2.64235
164,2.44749
165,2.32415
166,2.1146
167,2.08442
168,1.935
169,1.83124
170,1.7358
171,1.63388
172,1.58722
173,1.31145
174,1.14761
175,1.0433
176,0.969254
177,0.851762
178,0.805562
179,0.736052
180,0.692814
181,0.594292
182,0.53592
183,0.528822
184,0.445114
185,0.433037
186,0.36127
187,0.309446
188,0.275459
189,0.246785
190,0.204151
191,0.172247
192,0.141679
193,0.130853
194,0.0998524
195,0.0877632
196,0.0645583
197,0.0593442
198,0.0469772
199,0.0430025
200,0.0317048
201,0.0195447
202,0.01455
203,0.00732991
204,0.00351688
205,0.00331459
206,0.00223894
207,0.00152953
208,0.000272476
209,7.79721e-05
