k,error_relativo,energia_pct,tasa_compresion
5,0.2007047779,95.9717592129,51.1500487805
20,0.1029152742,98.9408446342,12.7875121951
50,0.0571890643,99.6729410928,5.1150048780
100,0.0276397738,99.9236042906,2.5575024390
200,0.0068098738,99.9953625619,1.2787512195
