k,error_relativo,energia_pct,tasa_compresion
5,0.6975973843,51.3357889457,35.9500693481
20,0.5849216970,65.7866608417,8.9875173370
50,0.4632646046,78.5385906128,3.5950069348
100,0.3124555432,90.2371533502,1.7975034674
200,0.1089778442,98.8123829471,0.8987517337
