k,error_relativo,energia_pct,tasa_compresion
5,0.2907535603,91.5462367161,39.6118518519
20,0.1927188742,96.2859435511,9.9029629630
50,0.1256165118,98.4220491973,3.9611851852
100,0.0734434732,99.4606056251,1.9805925926
200,0.0263788382,99.9304156897,0.9902962963
