k,error_relativo,energia_pct,tasa_compresion
5,0.2387344664,94.3005854543,21.9281045752
20,0.1650953768,97.2743516569,5.4820261438
50,0.1031095191,98.9368427063,2.1928104575
100,0.0429419853,99.8155985898,1.0964052288
183,0.0000000000,100.0000000000,0.5991285403
