k,error_relativo,energia_pct,tasa_compresion
5,0.0400800893,99.8393586441,22.4501108647
20,0.0152895147,99.9766230741,5.6125277162
50,0.0063900743,99.9959166950,2.2450110865
100,0.0008569583,99.9999265622,1.1225055432
200,0.0000000000,100.0000000000,0.5612527716
