k,error_relativo,energia_pct,tasa_compresion
5,0.1992025263,96.0318353517,51.1500487805
20,0.1056671575,98.8834451824,12.7875121951
50,0.0688716499,99.5256695840,5.1150048780
100,0.0420559416,99.8231297773,2.5575024390
200,0.0188906444,99.9643143555,1.2787512195
