x,y,temperatura,tipo
0.333333,0.428571,45.0491,interno
0.333333,0.47619,48.6887,interno
0.333333,0.52381,52.2448,interno
0.333333,0.571429,55.8127,interno
0.333333,0.619048,59.486,interno
0.333333,0.666667,63.3494,interno
0.333333,0.714286,67.4803,interno
0.333333,0.761905,71.9475,interno
0.333333,0.809524,76.8058,interno
0.333333,0.857143,82.0842,interno
0.333333,0.904762,87.7697,interno
0.333333,0.952381,93.7889,interno
0.333333,1,100,frontera
0.380952,0,0,frontera
0.380952,0.047619,5.96541,interno
0.380952,0.0952381,11.7986,interno
0.380952,0.142857,17.3944,interno
0.380952,0.190476,22.6894,interno
0.380952,0.238095,27.662,interno
0.380952,0.285714,32.3249,interno
0.380952,0.333333,36.7152,interno
0.380952,0.380952,40.8836,interno
0.380952,0.428571,44.8821,interno
0.380952,0.47619,48.7442,interno
0.380952,0.52381,52.4662,interno
0.380952,0.571429,56.1903,interno
0.380952,0.619048,60.018,interno
0.380952,0.666667,64.0248,interno
0.380952,0.714286,68.2723,interno
0.380952,0.761905,72.8104,interno
0.380952,0.809524,77.6727,interno
0.380952,0.857143,82.8683,interno
0.380952,0.904762,88.3725,interno
0.380952,0.952381,94.1189,interno
0.380952,1,100,frontera
0.428571,0,0,frontera
0.428571,0.047619,5.77472,interno
0.428571,0.0952381,11.4478,interno
0.428571,0.142857,16.9347,interno
0.428571,0.190476,22.1795,interno
0.428571,0.238095,27.1579,interno
0.428571,0.285714,31.8755,interno
0.428571,0.333333,36.3624,interno
0.428571,0.380952,40.6681,interno
0.428571,0.428571,44.8516,interno
0.428571,0.47619,48.9397,interno
0.428571,0.52381,52.6857,interno
0.428571,0.571429,56.4641,interno
0.428571,0.619048,60.371,interno
0.428571,0.666667,64.4594,interno
0.428571,0.714286,68.7737,interno
0.428571,0.761905,73.3491,interno
0.428571,0.809524,78.2062,interno
0.428571,0.857143,83.3438,interno
0.428571,0.904762,88.7331,interno
0.428571,0.952381,94.3143,interno
0.428571,1,100,frontera
0.47619,0,0,frontera
0.47619,0.047619,5.68573,interno
0.47619,0.0952381,11.2831,interno
0.47619,0.142857,16.7171,interno
0.47619,0.190476,21.9359,interno
0.47619,0.238095,26.9148,interno
0.47619,0.285714,31.6568,interno
0.47619,0.333333,36.1908,interno
0.47619,0.380952,40.5748,interno
0.47619,0.428571,44.9167,interno
0.47619,0.47619,49.4771,interno
0.47619,0.52381,52.8729,interno
0.47619,0.571429,56.6093,interno
0.47619,0.619048,60.5423,interno
0.47619,0.666667,64.6683,interno
0.47619,0.714286,69.0139,interno
0.47619,0.761905,73.6061,interno
0.47619,0.809524,78.4592,interno
0.47619,0.857143,83.5677,interno
0.47619,0.904762,88.9017,interno
0.47619,0.952381,94.4052,interno
0.47619,1,100,frontera
0.52381,0,0,frontera
0.52381,0.047619,5.6851,interno
0.52381,0.0952381,11.2817,interno
0.52381,0.142857,16.7148,interno
0.52381,0.190476,21.9321,interno
0.52381,0.238095,26.9086,interno
0.52381,0.285714,31.6459,interno
0.52381,0.333333,36.1693,interno
0.52381,0.380952,40.5235,interno
0.52381,0.428571,44.7632,interno
0.52381,0.47619,48.9116,interno
0.52381,0.52381,52.7194,interno
0.52381,0.571429,56.558,interno
0.52381,0.619048,60.5208,interno
0.52381,0.666667,64.6574,interno
0.52381,0.714286,69.0077,interno
0.52381,0.761905,73.6022,interno
0.52381,0.809524,78.4567,interno
0.52381,0.857143,83.5661,interno
0.52381,0.904762,88.9007,interno
0.52381,0.952381,94.4047,interno
0.52381,1,100,frontera
0.571429,0,0,frontera
0.571429,0.047619,5.77295,interno
0.571429,0.0952381,11.4439,interno
0.571429,0.142857,16.9282,interno
0.571429,0.190476,22.1692,interno
0.571429,0.238095,27.1416,interno
0.571429,0.285714,31.8489,interno
0.571429,0.333333,36.3171,interno
0.571429,0.380952,40.5866,interno
0.571429,0.428571,44.701,interno
0.571429,0.47619,48.6868,interno
0.571429,0.52381,52.535,interno
0.571429,0.571429,56.3825,interno
0.571429,0.619048,60.3256,interno
0.571429,0.666667,64.4327,interno
0.571429,0.714286,68.7571,interno
0.571429,0.761905,73.3385,interno
0.571429,0.809524,78.1993,interno
0.571429,0.857143,83.3394,interno
0.571429,0.904762,88.7304,interno
0.571429,0.952381,94.313,interno
0.571429,1,100,frontera
0.619048,0,0,frontera
0.619048,0.047619,5.96275,interno
0.619048,0.0952381,11.7929,interno
