x,y,temperatura,tipo
0.333333,0.428571,44.5956,interno
0.333333,0.47619,48.2112,interno
0.333333,0.52381,51.7888,interno
0.333333,0.571429,55.4044,interno
0.333333,0.619048,59.1343,interno
0.333333,0.666667,63.0542,interno
0.333333,0.714286,67.2378,interno
0.333333,0.761905,71.7533,interno
0.333333,0.809524,76.6556,interno
0.333333,0.857143,81.9746,interno
0.333333,0.904762,87.6981,interno
0.333333,0.952381,93.7535,interno
0.333333,1,100,frontera
0.380952,0,0,frontera
0.380952,0.047619,5.9196,interno
0.380952,0.0952381,11.7056,interno
0.380952,0.142857,17.2516,interno
0.380952,0.190476,22.4924,interno
0.380952,0.238095,27.4048,interno
0.380952,0.285714,31.9995,interno
0.380952,0.333333,36.3119,interno
0.380952,0.380952,40.3935,interno
0.380952,0.428571,44.3052,interno
0.380952,0.47619,48.1133,interno
0.380952,0.52381,51.8867,interno
0.380952,0.571429,55.6948,interno
0.380952,0.619048,59.6065,interno
0.380952,0.666667,63.6881,interno
0.380952,0.714286,68.0005,interno
0.380952,0.761905,72.5952,interno
0.380952,0.809524,77.5076,interno
0.380952,0.857143,82.7484,interno
0.380952,0.904762,88.2944,interno
0.380952,0.952381,94.0804,interno
0.380952,1,100,frontera
0.428571,0,0,frontera
0.428571,0.047619,5.72629,interno
0.428571,0.0952381,11.3493,interno
0.428571,0.142857,16.7829,interno
0.428571,0.190476,21.969,interno
0.428571,0.238095,26.8805,interno
0.428571,0.285714,31.519,interno
0.428571,0.333333,35.9088,interno
0.428571,0.380952,40.0912,interno
0.428571,0.428571,44.1185,interno
0.428571,0.47619,48.0502,interno
0.428571,0.52381,51.9498,interno
0.428571,0.571429,55.8815,interno
0.428571,0.619048,59.9088,interno
0.428571,0.666667,64.0912,interno
0.428571,0.714286,68.481,interno
0.428571,0.761905,73.1195,interno
0.428571,0.809524,78.031,interno
0.428571,0.857143,83.2171,interno
0.428571,0.904762,88.6507,interno
0.428571,0.952381,94.2737,interno
0.428571,1,100,frontera
0.47619,0,0,frontera
0.47619,0.047619,5.63625,interno
0.47619,0.0952381,11.1824,interno
0.47619,0.142857,16.5618,interno
0.47619,0.190476,21.72,interno
0.47619,0.238095,26.6292,interno
0.47619,0.285714,31.2872,interno
0.47619,0.333333,35.7133,interno
0.47619,0.380952,39.9439,interno
0.47619,0.428571,44.0273,interno
